DrawNo,DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6,Jackpot,TotalValue
421115,20150321,1,9,17,19,21,57,2053094296,124
421215,20150322,6,20,24,42,43,52,2068677078,187
421315,20150325,8,10,19,41,49,50,2085218818,177
421415,20150328,12,18,19,29,37,53,2101598610,168
421515,20150329,5,11,17,31,39,45,2117041967,148
421615,20150331,19,22,26,30,36,44,1512288348,177
421715,20150401,5,33,40,43,53,62,1525150340,236
421815,20150404,10,22,24,28,32,34,1539360036,150
421915,20150405,23,27,35,45,51,56,1552735684,237
422015,20150407,4,12,23,40,51,61,1563503155,191
422115,20150408,4,14,19,22,25,50,1575599096,134
422215,20150411,19,20,22,39,45,47,1588687243,192
422315,20150412,8,24,28,37,50,60,1601274818,207
422415,20150415,14,23,26,29,54,61,1613888920,207
422515,20150418,13,24,37,48,49,56,1626699718,227
422615,20150419,12,28,43,47,55,58,1638866659,243
422715,20150422,2,12,19,40,47,62,1651178459,182
422815,20150425,13,20,27,29,39,52,1663750805,180
422915,20150426,9,23,37,50,56,61,1675929686,236
423015,20150428,9,25,43,51,61,62,1686810628,251
423115,20150429,6,15,18,27,31,63,1699002522,160
423215,20150502,7,11,13,23,33,61,1713043049,148
423315,20150503,1,21,29,33,43,48,1726676955,175
423415,20150505,13,16,21,44,49,50,1737951004,193
423515,20150506,10,13,16,17,22,38,1750822792,116
423615,20150509,9,11,16,20,28,33,1765261073,117
423715,20150510,23,31,34,43,45,49,1779351507,225
423815,20150513,11,19,21,30,40,63,1793531101,184
423915,20150516,14,19,27,32,53,58,1808014427,203
424015,20150517,2,19,27,50,51,60,1822032860,209
424115,20150520,6,32,35,37,43,51,1836034348,204
424215,20150523,2,21,32,40,46,58,1850299742,199
424315,20150524,4,22,27,48,49,55,1864006793,205
424415,20150526,24,26,30,34,35,48,1875466241,197
424515,20150527,11,20,29,30,53,54,1888051886,197
424615,20150530,4,9,16,36,45,49,1902265157,159
424715,20150531,16,17,19,39,52,55,1915955405,198
424815,20150602,1,11,22,25,38,61,1927296592,158
424915,20150603,15,16,26,46,58,60,1939978762,221
425015,20150606,9,16,20,25,49,53,1953958943,172
425115,20150607,2,3,10,14,27,42,1967548162,98
425215,20150610,6,9,11,24,51,56,1981511040,157
425315,20150613,5,19,40,42,43,46,1995954898,195
425415,20150614,7,24,25,47,51,53,2010069785,207
425515,20150617,1,14,17,24,27,50,2024438354,133
425615,20150620,20,23,35,39,49,50,2039079123,216
425715,20150621,18,20,31,45,50,53,2053217176,217
425815,20150624,4,18,38,53,54,58,2067528688,225
425915,20150627,26,32,38,43,54,58,2082298944,251
426015,20150628,9,17,21,31,38,50,2096522940,166
426115,20150701,5,27,28,34,39,50,2111011486,183
426215,20150704,28,35,43,47,60,63,2125755787,276
426315,20150705,7,15,29,35,47,60,2140166255,193
426415,20150708,16,26,27,54,59,62,2154380598,244
426515,20150711,5,7,23,30,32,54,2169132192,151
426615,20150712,2,16,32,49,52,60,2183272104,211
426715,20150715,3,7,12,22,31,48,2197462709,123
426815,20150718,15,23,42,55,61,63,2211804465,259
426915,20150719,1,3,6,15,25,39,2225644005,89
427015,20150722,7,17,25,36,54,55,2240150712,194
427115,20150725,5,19,23,28,53,61,2254637899,189
427215,20150726,4,34,42,48,50,51,2268721898,229
427315,20150728,19,27,30,48,58,59,2280353661,241
427415,20150729,13,22,37,42,52,58,2293032971,224
427515,20150801,25,44,47,48,51,60,2307008790,275
427615,20150802,8,19,24,34,48,52,2320781764,185
427715,20150804,3,4,12,17,19,38,2332005906,93
427815,20150805,25,55,56,57,59,63,2344773304,315
427915,20150808,4,6,17,29,47,54,2358730104,157
428015,20150809,8,20,26,30,50,55,2372343347,189
428115,20150812,1,15,27,30,39,61,2385982687,173
428215,20150815,14,25,28,30,41,57,2399762239,195
428315,20150816,13,18,23,52,56,60,2413206384,222
428415,20150819,9,16,29,36,46,57,2426848584,193
428515,20150822,6,8,14,32,47,63,2440985707,170
428615,20150823,7,8,17,38,39,63,2454697620,172
428715,20150826,8,20,29,35,48,63,2468557538,203
428815,20150829,22,37,38,45,52,56,2482720330,250
428915,20150830,10,14,19,21,38,43,2496247201,145
429015,20150901,13,23,25,53,54,60,2507633433,228
429115,20150902,19,22,23,34,40,55,2520346991,193
429215,20150905,2,5,16,55,56,59,2534155572,193
429315,20150906,5,13,18,21,26,28,2547856974,111
429415,20150909,1,9,20,41,48,53,2561587477,172
429515,20150912,2,12,42,46,49,60,2575493870,211
429615,20150913,10,23,42,48,54,63,2589218295,240
429715,20150916,15,17,29,36,37,45,2602985334,179
429815,20150919,8,29,36,43,47,51,2616925618,214
429915,20150920,6,17,42,43,48,49,2630630810,205
430015,20150923,14,15,27,44,58,59,2644420443,217
430115,20150926,20,40,44,45,50,59,2658584450,258
430215,20150927,13,20,24,30,33,39,2672501496,159
430315,20150929,5,8,18,25,31,53,2684172227,140
430415,20150930,8,10,13,26,49,55,2697063463,161
430515,20151003,5,32,36,38,46,56,2711378550,213
430615,20151004,2,6,15,24,36,40,2725467482,123
